geo_fips,geo_name,geo_level,state_fips,state_abbr,state_name
0657792,Pleasanton,city,06,CA,California
0658072,Pomona,city,06,CA,California
0658240,Porterville,city,06,CA,California
0659444,Rancho Cordova,city,06,CA,California
0659451,Rancho Cucamonga,city,06,CA,California
0659920,Redding,city,06,CA,California
0659962,Redlands,city,06,CA,California
0660018,Redondo Beach,city,06,CA,California
0660102,Redwood City,city,06,CA,California
0660466,Rialto,city,06,CA,California
0660620,Richmond,city,06,CA,California
0662000,Riverside,city,06,CA,California
0662364,Rocklin,city,06,CA,California
0662896,Rosemead,city,06,CA,California
0662938,Roseville,city,06,CA,California
0664000,Sacramento,city,06,CA,California
0664224,Salinas,city,06,CA,California
0665000,San Bernardino,city,06,CA,California
0665042,San Buenaventura (Ventura),city,06,CA,California
0665084,San Clemente,city,06,CA,California
0666000,San Diego,city,06,CA,California
0667000,San Francisco,city,06,CA,California
0667112,San Jacinto,city,06,CA,California
0668000,San Jose,city,06,CA,California
0668084,San Leandro,city,06,CA,California
0668196,San Marcos,city,06,CA,California
0668252,San Mateo,city,06,CA,California
0668364,San Rafael,city,06,CA,California
0668378,San Ramon,city,06,CA,California
0669000,Santa Ana,city,06,CA,California
0669070,Santa Barbara,city,06,CA,California
0669084,Santa Clara,city,06,CA,California
0669088,Santa Clarita,city,06,CA,California
0669112,Santa Cruz,city,06,CA,California
0669196,Santa Maria,city,06,CA,California
0670000,Santa Monica,city,06,CA,California
0670098,Santa Rosa,city,06,CA,California
0670224,Santee,city,06,CA,California
0672016,Simi Valley,city,06,CA,California
0673080,South Gate,city,06,CA,California
0673262,South San Francisco,city,06,CA,California
0675000,Stockton,city,06,CA,California
0677000,Sunnyvale,city,06,CA,California
0678120,Temecula,city,06,CA,California
0678582,Thousand Oaks,city,06,CA,California
0680000,Torrance,city,06,CA,California
0680238,Tracy,city,06,CA,California
0680644,Tulare,city,06,CA,California
0680812,Turlock,city,06,CA,California
0680854,Tustin,city,06,CA,California
0681204,Union City,city,06,CA,California
0681344,Upland,city,06,CA,California
0681554,Vacaville,city,06,CA,California
0681666,Vallejo,city,06,CA,California
0682590,Victorville,city,06,CA,California
0682954,Visalia,city,06,CA,California
0682996,Vista,city,06,CA,California
0683346,Walnut Creek,city,06,CA,California
0683668,Watsonville,city,06,CA,California
0684200,West Covina,city,06,CA,California
0684550,Westminster,city,06,CA,California
0684816,West Sacramento,city,06,CA,California
0685292,Whittier,city,06,CA,California
0686328,Woodland,city,06,CA,California
0686832,Yorba Linda,city,06,CA,California
0686972,Yuba City,city,06,CA,California
0687042,Yucaipa,city,06,CA,California
0803455,Arvada,city,08,CO,Colorado
0804000,Aurora,city,08,CO,Colorado
0807850,Boulder,city,08,CO,Colorado
0809280,Broomfield,city,08,CO,Colorado
0812415,Castle Rock,city,08,CO,Colorado
0812815,Centennial,city,08,CO,Colorado
0816000,Colorado Springs,city,08,CO,Colorado
0816495,Commerce City,city,08,CO,Colorado
0820000,Denver,city,08,CO,Colorado
0827425,Fort Collins,city,08,CO,Colorado
0831660,Grand Junction,city,08,CO,Colorado
0832155,Greeley,city,08,CO,Colorado
0843000,Lakewood,city,08,CO,Colorado
0845970,Longmont,city,08,CO,Colorado
0846465,Loveland,city,08,CO,Colorado
0857630,Parker,city,08,CO,Colorado
0862000,Pueblo,city,08,CO,Colorado
0877290,Thornton,city,08,CO,Colorado
0883835,Westminster,city,08,CO,Colorado
0908000,Bridgeport,city,09,CT,Connecticut
0908420,Bristol,city,09,CT,Connecticut
0918430,Danbury,city,09,CT,Connecticut
0937000,Hartford,city,09,CT,Connecticut
0946450,Meriden,city,09,CT,Connecticut
0947515,Milford,city,09,CT,Connecticut
0950370,New Britain,city,09,CT,Connecticut
0952000,New Haven,city,09,CT,Connecticut
0955990,Norwalk,city,09,CT,Connecticut
0973000,Stamford,city,09,CT,Connecticut
0976500,Torrington,city,09,CT,Connecticut
0980000,Waterbury,city,09,CT,Connecticut
0982800,West Haven,city,09,CT,Connecticut
1077580,Wilmington,city,10,DE,Delaware
1150000,Washington,city,11,DC,District of Columbia
1201700,Apopka,city,12,FL,Florida
1207300,Boca Raton,city,12,FL,Florida
1207525,Bonita Springs,city,12,FL,Florida
1207875,Boynton Beach,city,12,FL,Florida
1207950,Bradenton,city,12,FL,Florida
1210275,Cape Coral,city,12,FL,Florida
1212875,Clearwater,city,12,FL,Florida
1213275,Coconut Creek,city,12,FL,Florida
1214250,Coral Gables,city,12,FL,Florida
1214400,Coral Springs,city,12,FL,Florida
1216475,Davie,city,12,FL,Florida
1216525,Daytona Beach,city,12,FL,Florida
1216725,Deerfield Beach,city,12,FL,Florida
1216875,DeLand,city,12,FL,Florida
1217100,Delray Beach,city,12,FL,Florida
1217200,Deltona,city,12,FL,Florida
1217935,Doral,city,12,FL,Florida
1224000,Fort Lauderdale,city,12,FL,Florida
1224125,Fort Myers,city,12,FL,Florida
1225175,Gainesville,city,12,FL,Florida
1230000,Hialeah,city,12,FL,Florida
1232000,Hollywood,city,12,FL,Florida
1232275,Homestead,city,12,FL,Florida
1235000,Jacksonville,city,12,FL,Florida
1235875,Jupiter,city,12,FL,Florida
1236950,Kissimmee,city,12,FL,Florida
1238250,Lakeland,city,12,FL,Florida
1239425,Largo,city,12,FL,Florida
1239550,Lauderhill,city,12,FL,Florida
1243125,Margate,city,12,FL,Florida
1243975,Melbourne,city,12,FL,Florida
1245000,Miami,city,12,FL,Florida
1245025,Miami Beach,city,12,FL,Florida
1245060,Miami Gardens,city,12,FL,Florida
1245975,Miramar,city,12,FL,Florida
1249450,North Miami,city,12,FL,Florida
1249675,North Port,city,12,FL,Florida
1250750,Ocala,city,12,FL,Florida
1253000,Orlando,city,12,FL,Florida
1254000,Palm Bay,city,12,FL,Florida
1254075,Palm Beach Gardens,city,12,FL,Florida
1254200,Palm Coast,city,12,FL,Florida
1255775,Pembroke Pines,city,12,FL,Florida
1255925,Pensacola,city,12,FL,Florida
1256975,Pinellas Park,city,12,FL,Florida
1257425,Plantation,city,12,FL,Florida
1258050,Pompano Beach,city,12,FL,Florida
1258575,Port Orange,city,12,FL,Florida
1258715,Port St. Lucie,city,12,FL,Florida
1262625,St. Cloud,city,12,FL,Florida
1263000,St. Petersburg,city,12,FL,Florida
1263650,Sanford,city,12,FL,Florida
1264175,Sarasota,city,12,FL,Florida
1269700,Sunrise,city,12,FL,Florida
1270600,Tallahassee,city,12,FL,Florida
1270675,Tamarac,city,12,FL,Florida
1271000,Tampa,city,12,FL,Florida
1275812,Wellington,city,12,FL,Florida
1276582,Weston,city,12,FL,Florida
1276600,West Palm Beach,city,12,FL,Florida
