"geo_fips" "geo_name" "geo_level" "state_fips" "state_abbr" "state_name"
"105" "0632548" "Hawthorne" "city" "06" "CA" "California"
"106" "0633000" "Hayward" "city" "06" "CA" "California"
"107" "0633182" "Hemet" "city" "06" "CA" "California"
"108" "0633434" "Hesperia" "city" "06" "CA" "California"
"109" "0633588" "Highland" "city" "06" "CA" "California"
"110" "0636000" "Huntington Beach" "city" "06" "CA" "California"
"111" "0636056" "Huntington Park" "city" "06" "CA" "California"
"112" "0636448" "Indio" "city" "06" "CA" "California"
"113" "0636546" "Inglewood" "city" "06" "CA" "California"
"114" "0636770" "Irvine" "city" "06" "CA" "California"
"115" "0637692" "Jurupa Valley" "city" "06" "CA" "California"
"116" "0639248" "Laguna Niguel" "city" "06" "CA" "California"
"117" "0639290" "La Habra" "city" "06" "CA" "California"
"118" "0639486" "Lake Elsinore" "city" "06" "CA" "California"
"119" "0639496" "Lake Forest" "city" "06" "CA" "California"
"120" "0639892" "Lakewood" "city" "06" "CA" "California"
"121" "0640004" "La Mesa" "city" "06" "CA" "California"
"122" "0640130" "Lancaster" "city" "06" "CA" "California"
"123" "0641992" "Livermore" "city" "06" "CA" "California"
"124" "0642202" "Lodi" "city" "06" "CA" "California"
"125" "0642524" "Lompoc" "city" "06" "CA" "California"
"126" "0643000" "Long Beach" "city" "06" "CA" "California"
"127" "0644000" "Los Angeles" "city" "06" "CA" "California"
"128" "0644574" "Lynwood" "city" "06" "CA" "California"
"129" "0645022" "Madera" "city" "06" "CA" "California"
"130" "0645484" "Manteca" "city" "06" "CA" "California"
"131" "0646842" "Menifee" "city" "06" "CA" "California"
"132" "0646898" "Merced" "city" "06" "CA" "California"
"133" "0647766" "Milpitas" "city" "06" "CA" "California"
"134" "0648256" "Mission Viejo" "city" "06" "CA" "California"
"135" "0648354" "Modesto" "city" "06" "CA" "California"
"136" "0648816" "Montebello" "city" "06" "CA" "California"
"137" "0648914" "Monterey Park" "city" "06" "CA" "California"
"138" "0649270" "Moreno Valley" "city" "06" "CA" "California"
"139" "0649670" "Mountain View" "city" "06" "CA" "California"
"140" "0650076" "Murrieta" "city" "06" "CA" "California"
"141" "0650258" "Napa" "city" "06" "CA" "California"
"142" "0650398" "National City" "city" "06" "CA" "California"
"143" "0651182" "Newport Beach" "city" "06" "CA" "California"
"144" "0652526" "Norwalk" "city" "06" "CA" "California"
"145" "0652582" "Novato" "city" "06" "CA" "California"
"146" "0653000" "Oakland" "city" "06" "CA" "California"
"147" "0653322" "Oceanside" "city" "06" "CA" "California"
"148" "0653896" "Ontario" "city" "06" "CA" "California"
"149" "0653980" "Orange" "city" "06" "CA" "California"
"150" "0654652" "Oxnard" "city" "06" "CA" "California"
"151" "0655156" "Palmdale" "city" "06" "CA" "California"
